üniversite_adı,ülke,öğretim,uluslararası,araştırma,atıflar,gelir,toplam_puan,öğrenci_sayısı,öğrenci_personel_oranı,uluslararası_öğrenciler,yıl,kadın_oranı,erkek_oranı
Kansas State University,United States of America,26.1,34.1,15.5,57.4,38.7,59.88001693480102,21379,15.1,0.1,2014,0.5,0.5
Keele University,United Kingdom,19.4,71.2,19.4,58.7,30.4,59.88001693480102,8397,15.7,0.2,2014,0.55,0.45
King Mongkut’s University of Technology Thonburi,Thailand,13.0,24.4,10.5,75.4,62.2,59.88001693480102,17791,23.7,0.01,2014,0.42,0.58
Kyushu University,Japan,38.6,24.5,28.0,30.9,75.0,59.88001693480102,18925,6.7,0.08,2014,0.28,0.72
Lehigh University,United States of America,28.9,35.7,16.0,53.7,39.7,59.88001693480102,6300,11.3,0.15,2014,0.44,0.56
Linköping University,Sweden,20.6,50.2,26.0,55.6,49.032975986277876,59.88001693480102,17866,7.7,0.1,2014,0.52,0.48
Murdoch University,Australia,16.7,86.4,16.0,51.7,49.9,59.88001693480102,16606,32.8,0.43,2014,0.59,0.41
National Cheng Kung University,Taiwan,31.5,24.9,40.7,27.6,100.0,59.88001693480102,21234,14.4,0.11,2014,0.36,0.64
National Sun Yat-Sen University,Taiwan,27.3,22.1,32.6,43.2,45.0,59.88001693480102,9336,19.6,0.04,2014,0.37,0.63
"National University of Ireland, Galway",Republic of Ireland,24.5,69.5,21.0,50.6,45.7,59.88001693480102,14067,26.8,0.14,2014,0.56,0.44
Oregon State University,United States of America,25.7,35.4,19.7,63.5,31.6,59.88001693480102,22578,16.8,0.09,2014,0.47,0.53
Sapienza University of Rome,Italy,27.0,36.3,25.2,48.2,36.3,59.88001693480102,120986,32.3,0.07,2014,0.59,0.41
Shanghai Jiao Tong University,China,35.7,22.8,31.8,32.3,79.2,59.88001693480102,38191,12.8,0.06,2014,0.37,0.63
State University of Campinas,Brazil,41.3,19.0,37.5,27.9,49.0,59.88001693480102,27095,15.3,0.03,2014,0.48,0.52
State University of New York Albany,United States of America,23.8,33.9,26.2,58.7,49.032975986277876,59.88001693480102,15387,18.5,0.08,2014,0.51,0.49
Stellenbosch University,South Africa,24.7,46.7,29.3,47.1,95.9,59.88001693480102,21849,23.0,0.08,2014,0.53,0.47
Umeå University,Sweden,19.8,50.1,29.6,53.1,30.5,59.88001693480102,16667,11.9,0.07,2014,0.6,0.4
University of Canterbury,New Zealand,18.2,88.0,24.4,51.6,52.3,59.88001693480102,12187,16.5,0.2,2014,0.51,0.49
University of Connecticut,United States of America,36.1,38.7,22.8,49.9,31.7,59.88001693480102,25742,13.0,0.11,2014,0.51,0.49
University of Crete,Greece,18.2,47.1,16.6,65.6,35.0,59.88001693480102,14650,26.9,0.05,2014,0.63,0.37
University of Eastern Finland,Finland,23.8,39.7,18.6,56.1,33.4,59.88001693480102,10798,17.3,0.06,2014,0.64,0.36
University of Hertfordshire,United Kingdom,14.1,81.1,10.2,66.9,30.3,59.88001693480102,19665,19.4,0.27,2014,0.54,0.46
University of Houston,United States of America,37.0,31.5,23.8,42.4,36.9,59.88001693480102,40325,43.7,0.09,2014,0.5,0.5
University of Liège,Belgium,25.1,67.1,16.4,47.0,60.7,59.88001693480102,20951,25.9,0.23,2014,0.54,0.46
University of Manitoba,Canada,30.8,40.0,29.3,45.1,52.8,59.88001693480102,28576,27.8,0.11,2014,0.55,0.45
University of Missouri,United States of America,32.6,28.9,31.4,44.9,31.1,59.88001693480102,29885,14.1,0.05,2014,0.53,0.47
University of Padua,Italy,19.3,38.9,17.3,70.4,32.0,59.88001693480102,62577,18.3,0.04,2014,0.56,0.44
University of Pisa,Italy,20.3,35.0,18.1,64.2,41.7,59.88001693480102,47247,18.0,0.04,2014,0.52,0.48
University of Salento,Italy,31.0,37.4,20.4,48.2,51.2,59.88001693480102,19959,58.4,0.01,2014,0.64,0.36
University of South Australia,Australia,22.5,80.0,21.8,40.2,83.2,59.88001693480102,18971,26.2,0.32,2014,0.59,0.41
University of Tampere,Finland,23.1,33.9,22.2,52.3,45.6,59.88001693480102,10045,9.5,0.04,2014,0.66,0.34
University of Technology Sydney,Australia,22.1,87.3,22.0,47.8,36.4,59.88001693480102,24519,44.1,0.31,2014,0.53,0.47
University of Tsukuba,Japan,36.6,32.6,20.9,48.9,35.3,59.88001693480102,15930,12.6,0.16,2014,0.38,0.62
University of Waikato,New Zealand,18.4,82.4,18.1,56.9,46.3,59.88001693480102,10159,17.0,0.25,2014,0.57,0.43
University of Warsaw,Poland,18.7,42.8,14.3,71.1,28.3,59.88001693480102,49292,14.1,0.07,2014,0.67,0.33
Washington State University,United States of America,28.4,35.2,26.5,46.1,55.6,59.88001693480102,24550,18.3,0.07,2014,0.5,0.5
Wayne State University,United States of America,35.3,28.2,15.7,59.9,49.032975986277876,59.88001693480102,23065,10.7,0.07,2014,0.57,0.43
Wuhan University of Technology,China,14.8,18.9,7.8,78.1,58.7,59.88001693480102,50260,14.9,0.02,2014,0.31,0.69
Zhejiang University,China,35.9,21.0,32.1,36.5,94.5,59.88001693480102,47508,15.9,0.05,2014,0.41,0.59
Charles Darwin University,Australia,17.9,58.9,18.6,49.1,35.5,59.88001693480102,5570,25.4,0.15,2014,0.67,0.33
Charles University in Prague,Czech Republic,29.1,53.2,19.9,43.6,29.0,59.88001693480102,51438,13.0,0.15,2014,0.62,0.38
"China Medical University, Taiwan",Taiwan,18.9,20.5,28.1,46.2,60.8,59.88001693480102,7983,15.4,0.08,2014,0.53,0.47
George Mason University,United States of America,24.5,37.3,18.0,54.9,28.8,59.88001693480102,26622,17.0,0.07,2014,0.54,0.46
Hanyang University,South Korea,30.4,42.9,27.7,26.9,55.3,59.88001693480102,16729,10.4,0.19,2014,0.5,0.5
Indian Institute of Technology Delhi,India,33.8,15.3,23.0,38.5,49.032975986277876,59.88001693480102,8371,17.3,0.01,2014,0.18,0.82
Indian Institute of Technology Kanpur,India,31.3,17.3,25.2,41.8,42.4,59.88001693480102,6167,12.2,0.0,2014,0.13,0.87
Indian Institute of Technology Kharagpur,India,39.3,14.7,30.0,35.3,49.032975986277876,59.88001693480102,9928,17.5,0.0,2014,0.15,0.85
Indian Institute of Technology Roorkee,India,25.1,15.6,12.3,53.6,64.8,59.88001693480102,8061,18.7,0.01,2014,0.17,0.83
Johannes Kepler University of Linz,Austria,20.0,57.7,15.3,51.0,41.9,59.88001693480102,19646,29.1,0.1,2014,0.48,0.52
King Abdulaziz University,Saudi Arabia,18.2,74.3,9.4,58.2,39.7,59.88001693480102,35889,8.4,0.21,2014,0.57,0.43
King Saud University,Saudi Arabia,21.4,72.2,21.1,32.3,93.9,59.88001693480102,40666,13.4,0.07,2014,0.5,0.5
Leibniz University of Hanover,Germany,30.9,47.2,15.4,39.5,42.7,59.88001693480102,22401,62.7,0.12,2014,0.41,0.59
Liverpool John Moores University,United Kingdom,14.9,58.1,12.5,57.5,28.8,59.88001693480102,18513,19.8,0.13,2014,0.52,0.48
Loughborough University,United Kingdom,30.5,65.4,27.9,22.8,42.6,59.88001693480102,13951,15.9,0.22,2014,0.38,0.62
National Central University,Taiwan,22.6,34.5,22.1,46.2,83.9,59.88001693480102,10915,9.8,0.06,2014,0.31,0.69
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,25.5,21.6,40.4,33.0,47.9,59.88001693480102,7446,17.4,0.11,2014,0.34,0.66
"National University of Ireland, Maynooth",Republic of Ireland,24.9,70.3,20.9,34.6,33.0,59.88001693480102,7653,28.0,0.11,2014,0.55,0.45
Polytechnic University of Valencia,Spain,20.9,28.2,13.1,59.0,39.8,59.88001693480102,33172,13.6,0.07,2014,0.36,0.64
Ruhr University Bochum,Germany,27.8,50.9,20.9,42.0,45.2,59.88001693480102,38675,46.3,0.13,2014,0.48,0.52
San Diego State University,United States of America,15.0,22.2,23.1,61.1,29.2,59.88001693480102,27420,31.7,0.05,2014,0.57,0.43
Sun Yat-sen University,China,29.4,25.5,18.2,48.1,43.4,59.88001693480102,51351,16.6,0.08,2014,0.51,0.49
Swinburne University of Technology,Australia,17.0,68.5,19.4,49.1,46.7,59.88001693480102,20314,36.5,0.33,2014,0.44,0.56
Temple University,United States of America,35.4,22.4,15.0,42.4,49.032975986277876,59.88001693480102,33268,13.3,0.05,2014,0.51,0.49
UiT The Arctic University of Norway,Norway,20.3,59.6,15.8,54.2,39.2,59.88001693480102,10398,12.2,0.1,2014,0.6,0.4
University of Bari Aldo Moro,Italy,26.8,34.7,21.1,48.2,34.9,59.88001693480102,51560,65.1,0.02,2014,0.65,0.35
University of Duisburg-Essen,Germany,20.4,47.7,12.0,59.9,41.7,59.88001693480102,36051,46.6,0.11,2014,0.49,0.51
University of Ferrara,Italy,15.4,38.6,14.4,64.2,38.5,59.88001693480102,18882,30.2,0.07,2014,0.56,0.44
University of Florence,Italy,17.7,37.3,13.2,57.7,34.2,59.88001693480102,54290,17.2,0.07,2014,0.59,0.41
University of Graz,Austria,24.6,59.9,14.4,51.0,29.5,59.88001693480102,20584,26.8,0.12,2014,0.65,0.35
University of Guelph,Canada,20.6,39.1,22.6,45.1,47.8,59.88001693480102,21643,28.3,0.04,2014,0.6,0.4
University of Jyväskylä,Finland,27.5,42.8,16.3,47.2,49.032975986277876,59.88001693480102,9703,15.2,0.05,2014,0.62,0.38
"University of Maryland, Baltimore County",United States of America,16.9,34.4,15.0,65.9,32.6,59.88001693480102,13908,18.1,0.07,2014,0.46,0.54
University of Minho,Portugal,17.2,46.9,18.6,50.3,37.4,59.88001693480102,19090,18.8,0.09,2014,0.52,0.48
University of Navarra,Spain,27.3,45.7,23.4,33.7,86.2,59.88001693480102,11259,10.6,0.16,2014,0.52,0.48
University of Porto,Portugal,20.5,43.9,17.8,47.6,36.7,59.88001693480102,32720,18.8,0.09,2014,0.54,0.46
University of Portsmouth,United Kingdom,13.7,73.3,11.8,56.3,29.1,59.88001693480102,20161,19.1,0.23,2014,0.45,0.55
University of Rovira i Virgili,Spain,19.0,34.3,13.6,64.2,30.6,59.88001693480102,12533,12.8,0.09,2014,0.61,0.39
University of Stirling,United Kingdom,19.0,62.8,22.6,50.1,30.3,59.88001693480102,7828,15.9,0.22,2014,0.61,0.39
University of Surrey,United Kingdom,31.1,83.5,22.7,25.7,40.3,59.88001693480102,12063,16.6,0.38,2014,0.55,0.45
University of Tartu,Estonia,20.3,43.7,21.2,46.2,30.3,59.88001693480102,10269,13.0,0.03,2014,0.66,0.34
University of Tasmania,Australia,18.7,69.9,16.7,49.1,36.9,59.88001693480102,18340,23.8,0.21,2014,0.57,0.43
University of Valencia,Spain,16.6,39.3,12.4,59.0,31.7,59.88001693480102,58413,15.4,0.09,2014,0.6,0.4
University of Vigo,Spain,19.7,25.9,10.7,62.9,38.2,59.88001693480102,22793,19.0,0.03,2014,0.51,0.49
California Institute of Technology,United States of America,92.2,67.0,98.1,99.7,89.1,94.3,2243,6.9,0.27,2015,0.33,0.67
Harvard University,United States of America,92.9,67.6,98.6,98.9,44.0,93.3,20152,8.9,0.25,2015,0.5,0.5
University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,72.9,93.2,19919,11.6,0.34,2015,0.46,0.54
Stanford University,United States of America,91.5,69.0,96.7,99.1,63.1,92.9,15596,7.8,0.22,2015,0.42,0.58
University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,51.1,92.0,18812,11.8,0.34,2015,0.46,0.54
Massachusetts Institute of Technology,United States of America,89.1,84.3,88.2,100.0,95.7,91.9,11074,9.0,0.33,2015,0.37,0.63
Princeton University,United States of America,86.6,61.2,94.7,99.6,82.7,90.9,7929,8.4,0.27,2015,0.45,0.55
"University of California, Berkeley",United States of America,84.2,58.5,96.7,99.1,44.8,89.5,36186,16.4,0.15,2015,0.5,0.5
Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,72.7,87.5,15060,11.7,0.51,2015,0.37,0.63
Yale University,United States of America,88.5,59.8,90.8,94.0,42.0,87.5,11751,4.4,0.2,2015,0.5,0.5
University of Chicago,United States of America,83.9,65.2,89.9,97.3,36.8,87.1,14221,6.9,0.21,2015,0.42,0.58
"University of California, Los Angeles",United States of America,82.4,49.2,90.5,95.3,49.032975986277876,85.5,38206,10.3,0.15,2015,0.52,0.48
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,78.2,96.6,90.2,83.5,73.2,84.6,18178,14.7,0.37,2015,0.31,0.69
Columbia University,United States of America,83.9,68.3,79.4,95.3,49.032975986277876,84.4,25055,5.9,0.28,2015,0.5,0.5
Johns Hopkins University,United States of America,75.6,59.7,84.2,93.6,100.0,83.0,15128,3.6,0.23,2015,0.5,0.5
University of Pennsylvania,United States of America,79.0,43.8,82.0,94.4,43.0,81.0,20376,6.5,0.2,2015,0.51,0.49
University of Michigan,United States of America,77.0,49.8,86.5,88.9,55.7,80.9,41786,9.0,0.16,2015,0.48,0.52
Duke University,United States of America,73.5,50.5,75.2,96.6,100.0,79.9,15172,4.8,0.17,2015,0.49,0.51
Cornell University,United States of America,71.6,59.0,83.8,91.5,33.7,79.4,21424,10.2,0.19,2015,0.48,0.52
University of Toronto,Canada,74.4,71.2,85.1,83.0,46.1,79.3,66198,19.5,0.15,2015,0.5,0.5
Northwestern University,United States of America,72.7,36.7,78.9,96.9,77.0,79.2,18334,13.8,0.15,2015,0.48,0.52
University College London,United Kingdom,70.4,90.6,80.4,85.1,46.2,78.7,26607,10.7,0.46,2015,0.56,0.44
University of Tokyo,Japan,81.4,32.4,85.1,74.7,51.2,76.1,26199,5.7,0.1,2015,0.5,0.5
Carnegie Mellon University,United States of America,61.6,59.3,74.9,92.0,53.0,74.3,11885,13.1,0.35,2015,0.39,0.61
National University of Singapore,Singapore,72.0,94.9,78.1,66.0,53.4,73.3,31592,15.5,0.34,2015,0.49,0.51
University of Washington,United States of America,64.5,47.9,68.9,95.0,44.7,73.2,44020,11.8,0.13,2015,0.53,0.47
Georgia Institute of Technology,United States of America,62.5,68.9,71.2,85.8,72.3,72.8,19967,20.1,0.26,2015,0.31,0.69
University of Texas at Austin,United States of America,64.3,33.1,72.0,91.5,58.1,72.3,49427,17.4,0.09,2015,0.51,0.49
LMU Munich,Germany,65.1,56.4,69.1,83.0,100.0,71.9,35691,15.5,0.13,2015,0.62,0.38
University of Illinois at Urbana-Champaign,United States of America,67.7,43.9,79.0,77.8,51.7,71.9,42727,18.7,0.2,2015,0.47,0.53
University of Wisconsin-Madison,United States of America,67.7,33.6,71.3,87.7,53.3,71.9,39655,10.8,0.11,2015,0.51,0.49
University of British Columbia,Canada,60.5,84.8,69.0,85.3,40.1,71.8,50152,17.6,0.25,2015,0.54,0.46
University of Melbourne,Australia,60.4,81.3,70.9,80.6,61.2,71.2,40128,23.7,0.35,2015,0.55,0.45
École Polytechnique Fédérale de Lausanne,Switzerland,54.7,98.8,56.9,95.0,61.9,70.9,9666,10.5,0.54,2015,0.27,0.73
University of Edinburgh,United Kingdom,58.9,84.3,62.9,88.3,41.2,70.4,25774,14.1,0.36,2015,0.58,0.42
"University of California, Santa Barbara",United States of America,49.4,64.3,61.4,99.2,87.1,70.0,22020,27.3,0.11,2015,0.52,0.48
New York University,United States of America,68.3,41.2,62.4,89.5,30.2,69.9,42056,6.8,0.19,2015,0.55,0.45
McGill University,Canada,63.3,79.0,69.9,76.0,38.6,69.6,31326,13.7,0.23,2015,0.56,0.44
King’s College London,United Kingdom,55.6,87.0,62.3,88.3,39.0,69.4,21394,11.4,0.37,2015,0.61,0.39
"University of California, San Diego",United States of America,52.0,37.0,66.6,96.4,54.2,68.6,27233,6.5,0.11,2015,0.48,0.52
Washington University in St Louis,United States of America,57.6,46.5,55.2,97.1,49.032975986277876,67.8,12528,5.7,0.17,2015,0.5,0.5
University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,56.0,67.5,19835,17.6,0.38,2015,0.53,0.47
Karolinska Institute,Sweden,57.1,60.6,68.0,76.8,65.5,66.8,7774,11.5,0.22,2015,0.7,0.3
Australian National University,Australia,53.7,91.3,70.9,71.1,38.9,66.5,14604,19.2,0.35,2015,0.52,0.48
University of Minnesota,United States of America,59.9,33.8,64.7,82.9,49.032975986277876,65.9,46825,18.0,0.13,2015,0.52,0.48
University of North Carolina at Chapel Hill,United States of America,57.9,35.3,58.6,91.0,40.5,65.9,26518,7.3,0.08,2015,0.58,0.42
Peking University,China,70.0,53.7,61.9,63.7,100.0,65.2,40148,8.3,0.14,2015,0.5,0.5
Tsinghua University,China,64.1,44.6,68.3,65.0,99.7,65.1,39763,13.7,0.1,2015,0.32,0.68
Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,64.8,26389,13.9,0.1,2015,0.5,0.5
Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,57.6,64.7,11385,23.8,0.36,2015,0.5,0.5
Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,100.0,64.5,9027,10.0,0.09,2015,0.2,0.8
University of Manchester,United Kingdom,58.1,82.0,58.7,74.3,39.4,64.5,34938,15.3,0.34,2015,0.52,0.48
Brown University,United States of America,55.5,37.0,54.2,92.0,32.7,64.1,8653,10.1,0.19,2015,0.5,0.5
KU Leuven,Belgium,53.0,62.3,63.6,71.8,99.9,63.7,42503,41.9,0.18,2015,0.54,0.46
"University of California, Davis",United States of America,54.4,52.9,59.7,80.4,55.4,63.7,35364,13.9,0.13,2015,0.54,0.46
Boston University,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,24789,8.6,0.17,2015,0.58,0.42
Pennsylvania State University,United States of America,54.6,37.4,64.8,76.0,60.4,62.9,44501,12.4,0.12,2015,0.46,0.54
Kyoto University,Japan,70.4,29.0,68.4,57.0,73.3,62.8,22809,5.6,0.07,2015,0.5,0.5
University of Sydney,Australia,52.8,83.6,60.8,69.0,67.3,62.7,41868,20.2,0.28,2015,0.57,0.43
Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,100.0,62.2,25028,16.2,0.33,2015,0.48,0.52
École Polytechnique,France,50.5,94.5,47.1,79.9,76.8,62.2,2429,4.8,0.3,2015,0.18,0.82
Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46.0,96.4,40.1,61.9,462,16.5,0.05,2015,0.28,0.72
Leiden University,Netherlands,45.0,59.5,58.2,82.3,47.3,61.3,21222,17.1,0.1,2015,0.59,0.41
The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,61.2,34718,32.7,0.27,2015,0.53,0.47
Pohang University of Science and Technology,South Korea,52.7,36.0,49.3,84.4,100.0,61.1,3055,10.1,0.04,2015,0.2,0.8
University of Göttingen,Germany,46.9,53.9,48.0,92.3,32.8,61.0,25581,25.6,0.12,2015,0.51,0.49
Ohio State University,United States of America,54.0,51.5,51.1,80.4,46.8,60.7,51462,13.4,0.12,2015,0.49,0.51
Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,59.8,6333,9.0,0.26,2015,0.44,0.56
Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,59.6,28881,24.5,0.17,2015,0.55,0.45
Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100.0,59.2,15920,19.4,0.25,2015,0.26,0.74
Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,59.1,20580,18.9,0.18,2015,0.48,0.52
Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100.0,59.0,9248,17.0,0.21,2015,0.56,0.44
University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,58.9,17906,14.0,0.25,2015,0.53,0.47
University of Basel,Switzerland,41.2,91.2,41.1,81.4,97.7,58.4,12551,17.3,0.24,2015,0.54,0.46
University of Southern California,United States of America,55.2,42.7,44.6,81.3,34.4,58.4,36534,12.9,0.2,2015,0.52,0.48
University of Amsterdam,Netherlands,42.0,60.5,55.4,76.6,56.7,58.2,24570,14.4,0.11,2015,0.53,0.47
École Normale Supérieure,France,48.7,81.9,36.2,84.8,39.4,58.1,2400,7.9,0.2,2015,0.46,0.54
Utrecht University,Netherlands,38.2,52.9,54.8,80.0,84.1,58.0,30779,15.4,0.07,2015,0.59,0.41
Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,31.9,57.9,29987,52.5,0.16,2015,0.5,0.5
Free University of Berlin,Germany,49.4,56.6,58.0,67.6,33.5,57.6,33062,39.3,0.2,2015,0.58,0.42
Michigan State University,United States of America,51.1,55.0,49.4,74.0,31.7,57.3,44750,15.7,0.15,2015,0.51,0.49
Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,56.9,15489,15.7,0.24,2015,0.54,0.46
Monash University,Australia,43.7,79.6,54.4,65.7,73.4,56.9,50882,40.5,0.36,2015,0.56,0.44
Middle East Technical University,Turkey,45.5,38.7,36.9,92.0,55.2,56.6,25779,22.2,0.07,2015,0.44,0.56
University of Arizona,United States of America,44.9,38.8,51.4,74.0,99.6,56.5,36429,12.7,0.08,2015,0.52,0.48
University of Notre Dame,United States of America,43.3,51.4,38.5,90.0,49.032975986277876,56.5,11829,13.8,0.1,2015,0.44,0.56
Tufts University,United States of America,43.6,51.1,33.9,92.9,58.7,56.4,10410,10.0,0.14,2015,0.54,0.46
"University of California, Irvine",United States of America,39.5,56.1,41.7,89.5,40.0,56.4,26614,16.1,0.16,2015,0.52,0.48
Ghent University,Belgium,42.5,49.1,51.6,73.8,85.3,56.2,32166,34.1,0.09,2015,0.57,0.43
University of Massachusetts,United States of America,44.8,40.3,49.1,78.7,52.8,56.1,56959,13.0,0.11,2015,0.49,0.51
University of Pittsburgh,United States of America,45.2,32.2,46.3,84.4,38.5,56.1,26485,5.8,0.1,2015,0.51,0.49
Emory University,United States of America,49.0,42.9,32.4,89.5,42.3,55.5,12338,4.5,0.18,2015,0.56,0.44
McMaster University,Canada,38.1,69.4,43.2,78.8,85.0,55.3,23823,19.3,0.15,2015,0.53,0.47
University of Glasgow,United Kingdom,37.0,78.8,40.5,83.7,39.9,55.3,22616,16.0,0.29,2015,0.57,0.43
Vanderbilt University,United States of America,46.0,28.3,38.2,87.7,59.4,55.2,12161,3.6,0.1,2015,0.52,0.48
University of Colorado Boulder,United States of America,35.0,39.1,38.3,97.4,49.032975986277876,55.1,29325,16.1,0.08,2015,0.45,0.55
Stockholm University,Sweden,30.1,53.2,45.0,90.9,32.4,54.6,31715,23.7,0.08,2015,0.62,0.38
Technical University of Munich,Germany,45.6,64.0,37.4,78.8,49.0,54.6,35565,31.5,0.2,2015,0.33,0.67
Uppsala University,Sweden,40.2,57.5,53.0,70.9,39.6,54.6,25266,18.2,0.12,2015,0.57,0.43
Maastricht University,Netherlands,32.4,89.7,48.1,70.1,96.1,54.3,15626,18.9,0.48,2015,0.56,0.44
Purdue University,United States of America,47.8,64.3,50.5,62.2,49.032975986277876,54.0,39256,18.1,0.22,2015,0.42,0.58
Pierre and Marie Curie University,France,47.3,64.7,30.0,83.3,33.4,53.9,27862,8.7,0.18,2015,0.48,0.52
University of Helsinki,Finland,37.5,49.7,48.1,79.0,31.5,53.9,23505,15.1,0.06,2015,0.66,0.34
University of Warwick,United Kingdom,41.1,85.7,45.8,68.2,35.6,53.9,18529,16.6,0.37,2015,0.48,0.52
University of Zurich,Switzerland,40.2,86.9,33.1,81.4,40.1,53.9,26583,6.5,0.19,2015,0.57,0.43
Queen Mary University of London,United Kingdom,32.4,88.6,32.9,88.9,37.1,53.8,14260,14.0,0.4,2015,0.52,0.48
University of Geneva,Switzerland,34.5,96.8,37.2,78.2,65.1,53.8,15668,15.0,0.39,2015,0.61,0.39
"University of California, Santa Cruz",United States of America,30.6,54.6,31.9,100.0,33.8,53.7,17404,22.7,0.01,2015,0.53,0.47
University of New South Wales,Australia,41.1,83.5,51.9,61.1,47.8,53.7,38309,25.9,0.33,2015,0.47,0.53
University of St Andrews,United Kingdom,35.7,90.5,35.9,81.4,39.8,53.6,8338,12.7,0.47,2015,0.56,0.44
University of Sussex,United Kingdom,31.9,83.6,30.4,92.8,31.2,53.6,12001,17.4,0.35,2015,0.54,0.46
University of Montreal,Canada,43.8,76.7,44.4,62.9,91.8,53.4,38264,20.3,0.25,2015,0.57,0.43
University of Tübingen,Germany,41.5,53.0,44.7,74.0,54.7,53.4,28327,38.9,0.12,2015,0.58,0.42
Case Western Reserve University,United States of America,46.5,34.4,37.4,82.9,49.032975986277876,53.2,9259,6.4,0.17,2015,0.48,0.52
University of Groningen,Netherlands,36.9,56.1,50.8,68.1,88.9,53.1,24556,25.6,0.12,2015,0.52,0.48
"Royal Holloway, University of London",United Kingdom,29.1,94.4,22.4,98.9,32.8,53.0,8747,15.9,0.37,2015,0.57,0.43
Lund University,Sweden,32.6,70.1,48.5,74.9,32.6,52.9,28251,11.5,0.15,2015,0.5,0.5
Paris-Sud University,France,37.3,62.7,33.1,87.7,28.9,52.8,27603,15.0,0.17,2015,0.5,0.5
Technical University of Denmark,Denmark,39.9,79.7,28.2,79.6,98.6,52.7,9990,5.0,0.18,2015,0.27,0.73
University of Rochester,United States of America,41.9,55.5,29.2,87.7,36.4,52.7,9390,4.5,0.26,2015,0.49,0.51
University of Sheffield,United Kingdom,40.0,74.8,39.1,74.3,43.8,52.7,23311,15.5,0.31,2015,0.5,0.5
University of Alberta,Canada,43.8,73.4,47.1,61.8,51.8,52.6,36299,21.6,0.23,2015,0.55,0.45
University of Cape Town,South Africa,26.8,76.7,35.3,86.6,88.0,52.6,20040,12.1,0.18,2015,0.53,0.47
Boston College,United States of America,32.4,54.6,29.1,95.9,46.5,52.5,13216,17.4,0.19,2015,0.54,0.46
KTH Royal Institute of Technology,Sweden,45.7,84.0,44.8,55.1,100.0,52.5,12062,14.6,0.21,2015,0.3,0.7
University of Florida,United States of America,49.8,32.2,52.1,62.2,49.032975986277876,52.5,50095,18.7,0.09,2015,0.54,0.46
Chinese University of Hong Kong,Hong Kong,43.9,64.0,53.5,57.8,42.8,52.4,17916,10.2,0.22,2015,0.53,0.47
University of Virginia,United States of America,48.7,31.8,35.9,76.9,49.8,52.1,23845,10.2,0.12,2015,0.52,0.48
Lancaster University,United Kingdom,35.4,84.7,36.1,78.0,34.1,52.0,11512,14.9,0.33,2015,0.52,0.48
University of Bern,Switzerland,42.0,80.7,36.9,70.1,47.4,51.9,14708,22.5,0.14,2015,0.54,0.46
"University of Maryland, College Park",United States of America,36.5,44.8,39.1,83.6,33.2,51.9,31331,8.4,0.09,2015,0.48,0.52
University of Southampton,United Kingdom,35.2,82.4,34.1,79.7,38.9,51.9,20925,13.5,0.29,2015,0.53,0.47
TU Dresden,Germany,39.8,44.7,42.0,70.8,99.5,51.6,35487,37.4,0.12,2015,0.42,0.58
University of Lausanne,Switzerland,29.4,85.1,39.9,76.5,50.9,51.4,11964,13.1,0.22,2015,0.5,0.5
VU University Amsterdam,Netherlands,35.5,50.6,43.2,74.9,60.0,51.4,23280,16.3,0.06,2015,0.56,0.44
Trinity College Dublin,Republic of Ireland,39.4,83.9,30.3,77.6,30.6,51.2,15521,18.0,0.25,2015,0.57,0.43
Boğaziçi University,Turkey,28.5,54.1,27.6,96.8,47.7,51.1,11506,25.0,0.07,2015,0.5,0.5
Radboud University Nijmegen,Netherlands,30.5,61.6,46.7,73.9,42.8,51.0,17713,13.0,0.1,2015,0.58,0.42
Colorado School of Mines,United States of America,26.1,52.6,26.7,97.1,79.4,50.9,5287,18.2,0.12,2015,0.26,0.74
Texas A&M University,United States of America,46.2,49.1,51.9,55.1,49.6,50.9,50657,21.4,0.09,2015,0.47,0.53
Tokyo Institute of Technology,Japan,53.5,37.0,52.9,48.1,69.4,50.9,9586,7.3,0.13,2015,0.13,0.87
Eindhoven University of Technology,Netherlands,38.3,69.0,47.1,57.3,99.9,50.5,8176,16.0,0.14,2015,0.19,0.81
