üniversite_adı,ülke,öğretim,uluslararası,araştırma,atıflar,gelir,toplam_puan,öğrenci_sayısı,öğrenci_personel_oranı,uluslararası_öğrenciler,yıl,kadın_oranı,erkek_oranı
University of Göttingen,Germany,57.3,44.5,55.9,92.5,31.7,67.0,25581,25.6,0.12,2011,0.51,0.49
Rice University,United States of America,57.4,31.2,50.6,99.1,29.2,66.9,6333,9.0,0.26,2011,0.44,0.56
École Polytechnique Fédérale de Lausanne,Switzerland,55.0,100.0,56.1,83.8,38.0,66.5,9666,10.5,0.54,2011,0.27,0.73
"University of California, Irvine",United States of America,49.4,66.3,54.7,91.6,49.032975986277876,66.0,26614,16.1,0.16,2011,0.52,0.48
University of Science and Technology of China,China,57.5,52.17053006329113,48.6,92.7,30.3,66.0,14290,7.9,0.02,2011,0.5,0.5
Vanderbilt University,United States of America,64.9,22.1,59.5,78.1,84.2,65.9,12161,3.6,0.1,2011,0.52,0.48
University of Minnesota,United States of America,57.6,23.0,69.1,76.4,49.032975986277876,65.6,46825,18.0,0.13,2011,0.52,0.48
Tufts University,United States of America,64.1,28.3,52.3,83.9,49.032975986277876,65.2,10410,10.0,0.14,2011,0.54,0.46
"University of California, Davis",United States of America,57.3,60.5,70.7,68.8,48.0,65.0,35364,13.9,0.13,2011,0.54,0.46
Brown University,United States of America,59.7,60.5,57.0,77.7,49.032975986277876,64.9,8653,10.1,0.19,2011,0.5,0.5
University of Massachusetts,United States of America,61.3,22.6,72.6,67.9,53.9,64.7,56959,13.0,0.11,2011,0.49,0.51
Kyoto University,Japan,78.9,18.4,77.7,46.3,67.1,64.6,22809,5.6,0.07,2011,0.5,0.5
Tsinghua University,China,74.9,43.0,66.6,52.7,97.8,64.2,39763,13.7,0.1,2011,0.32,0.68
Boston University,United States of America,53.6,38.1,51.9,91.4,29.6,64.0,24789,8.6,0.17,2011,0.58,0.42
New York University,United States of America,62.0,31.8,50.7,82.9,49.032975986277876,63.9,42056,6.8,0.19,2011,0.55,0.45
Emory University,United States of America,63.4,52.3,48.4,77.8,49.032975986277876,63.0,12338,4.5,0.18,2011,0.56,0.44
LMU Munich,Germany,59.1,43.1,57.5,76.4,40.4,63.0,35691,15.5,0.13,2011,0.62,0.38
University of Notre Dame,United States of America,56.4,35.6,45.1,89.1,49.032975986277876,62.8,11829,13.8,0.1,2011,0.44,0.56
University of Pittsburgh,United States of America,58.5,25.2,58.3,78.3,37.9,62.7,26485,5.8,0.1,2011,0.51,0.49
Case Western Reserve University,United States of America,67.2,56.5,53.8,66.0,49.032975986277876,62.2,9259,6.4,0.17,2011,0.48,0.52
Ohio State University,United States of America,63.5,64.0,54.9,67.2,49.032975986277876,62.1,51462,13.4,0.12,2011,0.49,0.51
University of Colorado Boulder,United States of America,46.4,31.7,58.1,83.4,49.032975986277876,61.6,29325,16.1,0.08,2011,0.45,0.55
University of Bristol,United Kingdom,49.6,67.2,53.1,80.9,36.2,61.4,17906,14.0,0.25,2011,0.53,0.47
"University of California, Santa Cruz",United States of America,38.3,16.7,50.4,99.6,49.032975986277876,61.4,17404,22.7,0.01,2011,0.53,0.47
Yeshiva University,United States of America,63.5,53.3,46.7,74.4,49.032975986277876,61.4,6753,5.5,0.07,2011,0.53,0.47
University of Sydney,Australia,49.8,89.6,61.9,64.3,90.8,61.2,41868,20.2,0.28,2011,0.57,0.43
University of Virginia,United States of America,62.0,42.2,55.4,68.6,49.032975986277876,61.1,23845,10.2,0.12,2011,0.52,0.48
University of Adelaide,Australia,46.5,87.5,38.8,90.5,52.7,60.7,20771,30.1,0.26,2011,0.48,0.52
University of Southern California,United States of America,65.4,31.2,48.7,71.9,49.032975986277876,60.7,36534,12.9,0.2,2011,0.52,0.48
William & Mary,United States of America,53.1,20.9,36.1,95.6,49.032975986277876,60.4,7867,11.8,0.07,2011,0.54,0.46
Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,31.6,60.3,15521,18.0,0.25,2011,0.57,0.43
King’s College London,United Kingdom,48.5,85.9,54.5,72.1,44.1,59.7,21394,11.4,0.37,2011,0.61,0.39
Stony Brook University,United States of America,48.5,52.2,43.6,85.8,49.032975986277876,59.6,21908,10.9,0.24,2011,0.5,0.5
Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100.0,59.5,9027,10.0,0.09,2011,0.2,0.8
University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5,12001,17.4,0.35,2011,0.54,0.46
The University of Queensland,Australia,51.8,74.2,53.4,69.0,57.1,59.1,34718,32.7,0.27,2011,0.53,0.47
Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59.0,28881,24.5,0.17,2011,0.55,0.45
University of Utah,United States of America,55.8,22.5,54.2,72.0,49.032975986277876,59.0,25674,16.9,0.09,2011,0.45,0.55
Durham University,United Kingdom,39.8,65.7,44.1,91.0,33.9,58.9,15489,15.7,0.24,2011,0.54,0.46
University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39.0,58.0,34938,15.3,0.34,2011,0.52,0.48
"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9,8747,15.9,0.37,2011,0.57,0.43
Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,28251,11.5,0.15,2011,0.5,0.5
University of Southampton,United Kingdom,50.8,69.0,47.8,72.9,37.7,57.7,20925,13.5,0.29,2011,0.53,0.47
University of Zurich,Switzerland,56.6,87.9,47.0,65.0,43.8,57.7,26583,6.5,0.19,2011,0.57,0.43
Wake Forest University,United States of America,54.6,24.4,42.9,79.2,49.032975986277876,57.7,7326,4.6,0.05,2011,0.51,0.49
McMaster University,Canada,44.7,52.17053006329113,58.7,68.5,49.032975986277876,57.6,23823,19.3,0.15,2011,0.53,0.47
University College Dublin,Republic of Ireland,42.4,87.0,36.6,86.3,49.032975986277876,57.5,22193,24.5,0.23,2011,0.5,0.5
George Washington University,United States of America,60.6,39.6,43.1,70.2,49.032975986277876,57.3,20541,12.0,0.16,2011,0.56,0.44
University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3,36429,12.7,0.08,2011,0.52,0.48
University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,12551,17.3,0.24,2011,0.54,0.46
"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,49.032975986277876,57.2,31331,8.4,0.09,2011,0.48,0.52
Dartmouth College,United States of America,44.7,31.0,49.2,79.7,49.032975986277876,57.1,6178,6.6,0.16,2011,0.47,0.53
École Normale Supérieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57.0,2218,8.0,0.14,2011,0.49,0.51
Technical University of Munich,Germany,50.4,85.3,43.2,71.2,49.032975986277876,56.9,35565,31.5,0.2,2011,0.33,0.67
University of Helsinki,Finland,49.0,24.2,51.4,75.4,30.2,56.6,23505,15.1,0.06,2011,0.66,0.34
University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,8338,12.7,0.47,2011,0.56,0.44
Rensselaer Polytechnic Institute,United States of America,50.5,48.0,54.6,64.9,49.032975986277876,56.4,6671,15.0,0.16,2011,0.3,0.7
"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,55.7,49.032975986277876,56.3,37032,17.3,0.08,2011,0.51,0.49
Purdue University,United States of America,57.0,62.6,67.8,43.9,49.032975986277876,56.2,39256,18.1,0.22,2011,0.42,0.58
National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,10221,13.5,0.05,2011,0.33,0.67
University of Cape Town,South Africa,36.6,83.3,42.1,82.8,49.032975986277876,56.1,20040,12.1,0.18,2011,0.53,0.47
